"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Save data feature","","0","0","1","0","0"
"","Login feature","","0","0","2","0","0"
"","Deleting from addresses feature","","0","0","1","0","0"
"","Data modification feature","","0","0","1","0","0"
"","Save addresses feature","","0","0","3","0","0"
"","Registration feature","","0","0","2","0","0"
"","Logout feature","","0","0","1","0","0"
"","Privacy Policy Statement feature","","0","0","1","0","0"
"","Product listing feature","","0","0","1","0","0"
"","Store data feature","","0","0","1","0","0"
"","Product list paging feature","","0","0","1","0","0"
